stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Desktop\Jogos\Pong CodeBlocks\ProjetoPong\bin\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.12887] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12893] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12899] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12905] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12911] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12925] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12932] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12938] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12945] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12950] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12957] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12962] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12969] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12974] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12981] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12987] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12993] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12999] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13005] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13011] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13018] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13023] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13030] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13035] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
